"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Summon: Bahamut","","M","3876","1.41","2660","1.39","14113","88.8%","54.6%","2298","51.5%","3863","59.8%","6161","56.7%","7779","52.6%","4.2pp"
"Ultima, Origin of Oblivion","","R","12898","2.25","3886","2.36","20247","88.5%","53.0%","3337","51.0%","5251","54.7%","8588","53.2%","11574","52.6%","0.7pp"
"Adelbert Steiner","W","U","51942","3.29","13837","3.84","74371","87.3%","57.0%","13424","58.4%","17216","57.8%","30640","58.1%","43652","56.4%","1.7pp"
"Aerith Gainsborough","W","R","12954","2.27","4136","2.43","20455","83.1%","54.5%","3631","55.9%","4948","55.4%","8579","55.6%","11849","53.6%","2.0pp"
"Aerith Rescue Mission","W","C","254995","6.75","31963","9.65","71827","37.3%","54.4%","11998","51.3%","16576","55.6%","28574","53.8%","43122","54.8%","-1.0pp"
"Ambrosia Whiteheart","W","U","57807","3.53","13828","4.30","73581","87.3%","56.0%","13184","56.5%","16978","56.4%","30162","56.4%","42989","55.7%","0.7pp"
"Ashe, Princess of Dalmasca","W","U","67520","4.31","11342","5.63","51198","75.0%","55.3%","9172","55.4%","11783","53.8%","20955","54.5%","30174","55.8%","-1.3pp"
"Auron's Inspiration","W","U","100082","6.99","12230","10.00","18895","25.8%","53.9%","3177","50.8%","4220","51.5%","7397","51.2%","11484","55.7%","-4.5pp"
"Battle Menu","W","U","54013","3.26","14522","3.92","79499","89.2%","56.8%","14172","57.2%","18695","59.0%","32867","58.2%","46408","55.8%","2.4pp"
"Cloud, Midgar Mercenary","W","M","5205","1.85","2389","1.80","11964","81.8%","56.5%","2136","58.9%","2848","57.6%","4984","58.1%","6951","55.3%","2.8pp"
"Cloudbound Moogle","W","C","261792","7.04","27448","10.50","42596","25.8%","53.1%","7385","49.7%","10105","53.5%","17490","51.9%","25012","53.9%","-2.1pp"
"Coeurl","W","C","257130","6.84","30094","9.95","70517","38.8%","54.4%","12793","53.4%","15967","53.4%","28760","53.4%","41623","55.1%","-1.6pp"
"Crystal Fragments","W","U","80479","5.16","10774","7.25","37408","58.5%","53.5%","6606","52.6%","8429","51.8%","15035","52.1%","20812","54.0%","-1.8pp"
"The Crystal's Chosen","W","U","73938","4.75","14438","6.02","57830","66.9%","54.7%","9298","54.1%","13973","57.5%","23271","56.1%","34399","53.8%","2.4pp"
"Delivery Moogle","W","U","61069","3.81","17387","4.38","88098","81.6%","58.0%","14961","58.9%","20864","60.5%","35825","59.8%","51992","56.7%","3.1pp"
"Dion, Bahamut's Dominant","W","R","7792","1.39","6212","1.36","36969","94.3%","58.5%","6627","64.2%","9137","65.5%","15764","65.0%","20936","53.6%","11.4pp"
"Dragoon's Lance","W","U","43937","2.77","16924","3.03","96441","90.5%","58.5%","17561","62.7%","21545","60.4%","39106","61.5%","50485","55.0%","6.5pp"
"Dwarven Castle Guard","W","C","245826","6.22","33388","8.73","114870","57.1%","54.9%","20849","54.8%","26112","53.2%","46961","53.9%","67680","55.5%","-1.6pp"
"Fate of the Sun-Cryst","W","C","202991","4.75","28343","6.75","127729","75.0%","54.2%","21486","51.2%","30708","55.6%","52194","53.8%","75143","54.5%","-0.7pp"
"From Father to Son","W","R","40165","6.59","5070","10.01","346","1.1%","","50","","82","","132","","215","",""
"G'raha Tia","W","U","61134","3.82","11700","4.81","54895","78.6%","53.9%","9143","51.8%","13335","54.7%","22478","53.5%","32353","54.1%","-0.6pp"
"Gaelicat","W","C","220696","5.42","35431","7.25","164068","75.7%","56.6%","28121","55.6%","38848","56.9%","66969","56.3%","96841","56.7%","-0.4pp"
"Machinist's Arsenal","W","R","11790","2.08","5705","2.08","30926","88.5%","56.5%","5185","57.4%","7622","60.3%","12807","59.1%","17492","54.2%","4.9pp"
"Magitek Armor","W","U","74527","4.63","16508","5.71","77424","76.5%","56.9%","12996","57.7%","18356","56.5%","31352","57.0%","45382","56.6%","0.5pp"
"Magitek Infantry","W","C","208694","5.17","45257","6.40","189701","67.7%","58.2%","34045","59.9%","36426","55.4%","70471","57.6%","115231","58.5%","-0.9pp"
"Minwu, White Mage","W","R","17602","3.01","3601","3.43","14222","67.5%","52.5%","2371","50.8%","3446","52.1%","5817","51.6%","8393","53.1%","-1.5pp"
"Moogles' Valor","W","R","14199","2.47","5687","2.56","29177","84.0%","56.2%","4889","56.0%","6952","61.3%","11841","59.1%","17251","54.1%","5.0pp"
"Paladin's Arms","W","C","215051","5.14","34164","7.02","170098","81.7%","56.2%","30086","55.8%","39363","55.5%","69449","55.6%","98589","56.4%","-0.7pp"
"Phoenix Down","W","U","92235","6.07","11372","8.75","24912","36.8%","53.3%","4088","50.1%","5838","53.1%","9926","51.9%","13792","53.4%","-1.5pp"
"Restoration Magic","W","U","80235","5.01","11677","6.91","44986","63.9%","55.7%","7503","55.1%","10769","57.7%","18272","56.7%","26632","55.0%","1.7pp"
"Sidequest: Catch a Fish","W","U","90400","6.19","9860","9.26","14894","25.4%","51.9%","2553","50.5%","3497","50.0%","6050","50.2%","8817","53.1%","-2.8pp"
"Slash of Light","W","C","219533","5.30","35115","7.18","165529","77.2%","56.1%","27674","54.9%","38605","57.2%","66279","56.3%","98911","56.0%","0.2pp"
"Snow Villiers","W","U","84145","5.45","10236","7.89","32338","52.9%","53.4%","5585","51.4%","7363","51.6%","12948","51.5%","19365","54.6%","-3.1pp"
"Stiltzkin, Moogle Merchant","W","R","27749","4.37","4557","5.93","14623","53.8%","53.3%","2617","52.8%","3489","51.9%","6106","52.3%","8445","54.0%","-1.7pp"
"Summon: Choco/Mog","W","C","232218","5.83","29706","8.28","97443","54.4%","54.5%","16726","52.6%","21822","54.0%","38548","53.4%","58332","55.1%","-1.7pp"
"Summon: Knights of Round","W","M","4093","1.50","2693","1.47","14069","86.3%","55.8%","2390","55.1%","3530","61.0%","5920","58.6%","8002","53.4%","5.2pp"
"Summon: Primal Garuda","W","U","57636","3.58","11109","4.58","54347","80.8%","55.2%","9273","54.5%","12764","56.7%","22037","55.8%","32109","54.8%","1.0pp"
"Ultima","W","R","15410","2.70","4565","2.84","17790","66.3%","53.1%","3002","52.4%","4535","57.2%","7537","55.3%","10148","51.5%","3.8pp"
"Venat, Heart of Hydaelyn","W","R","10699","1.88","5244","1.88","28216","88.8%","55.6%","4904","57.5%","6828","57.3%","11732","57.4%","16409","54.3%","3.1pp"
"Weapons Vendor","W","C","226380","5.63","35999","7.62","140035","63.8%","56.1%","23973","54.5%","32436","55.9%","56409","55.3%","83404","56.7%","-1.4pp"
"White Auracite","W","C","140132","3.34","39603","3.96","217236","89.0%","57.0%","36202","57.6%","51550","60.0%","87752","59.1%","126627","55.3%","3.8pp"
"White Mage's Staff","W","C","191252","4.45","39048","5.72","215075","89.3%","57.1%","39110","59.2%","48362","56.2%","87472","57.6%","117691","56.3%","1.3pp"
"The Wind Crystal","W","R","23064","3.91","3483","5.19","10285","50.7%","51.5%","1709","48.7%","2409","52.4%","4118","50.8%","6057","51.6%","-0.7pp"
"You're Not Alone","W","C","260576","7.07","35192","9.84","95321","44.5%","56.5%","15638","55.1%","21641","56.7%","37279","56.0%","57972","56.8%","-0.8pp"
"Zack Fair","W","U","60473","3.72","13515","4.53","70175","85.0%","56.4%","12524","58.1%","16276","56.7%","28800","57.3%","41026","55.8%","1.5pp"
"Astrologian's Planisphere","U","R","11919","2.14","6248","2.17","34526","91.7%","55.3%","6344","58.5%","9301","56.4%","15645","57.2%","17920","53.5%","3.8pp"
"Cargo Ship","U","U","93148","6.36","13747","8.77","34294","41.7%","53.5%","6183","54.6%","8524","54.1%","14707","54.3%","18868","52.5%","1.8pp"
"Combat Tutorial","U","C","213430","5.18","50589","6.54","244776","79.1%","56.5%","42577","57.3%","66534","60.0%","109111","59.0%","133522","54.3%","4.7pp"
"Dragoon's Wyvern","U","C","182246","4.29","55896","5.18","306776","88.9%","56.9%","54106","57.8%","83945","59.4%","138051","58.8%","165874","55.3%","3.5pp"
"Dreams of Laguna","U","C","229916","5.64","49922","7.36","232907","76.6%","56.1%","41734","56.2%","62709","59.1%","104443","57.9%","127664","54.6%","3.2pp"
"Edgar, King of Figaro","U","R","23994","4.03","5174","4.87","17975","58.8%","52.3%","2948","49.7%","4759","55.2%","7707","53.1%","10197","51.6%","1.5pp"
"Eject","U","U","64217","3.92","22059","4.55","121392","89.5%","56.5%","20417","55.8%","33776","61.0%","54193","59.1%","65933","54.3%","4.8pp"
"Ether","U","U","105183","7.77","14110","11.03","9368","11.1%","49.8%","1480","45.3%","2658","50.8%","4138","48.9%","5178","50.4%","-1.5pp"
"Gogo, Master of Mimicry","U","M","9082","3.12","2441","3.57","10135","71.1%","51.9%","1728","48.3%","2812","54.1%","4540","51.9%","5539","51.9%","-0.1pp"
"Ice Flan","U","C","258511","6.71","38405","9.63","104799","45.5%","53.3%","18535","50.4%","29255","55.4%","47790","53.5%","56300","53.2%","0.3pp"
"Ice Magic","U","C","197803","4.64","51998","5.85","277593","87.4%","56.2%","48099","54.4%","77399","60.4%","125498","58.1%","149377","54.5%","3.6pp"
"Il Mheg Pixie","U","U","55523","3.41","19796","3.94","110228","91.2%","56.1%","19819","58.6%","29960","57.7%","49779","58.1%","59675","54.4%","3.6pp"
"Jill, Shiva's Dominant","U","R","9698","1.71","6896","1.71","39993","93.8%","57.6%","6974","61.4%","11039","63.6%","18013","62.7%","21414","53.1%","9.7pp"
"Louisoix's Sacrifice","U","R","37176","5.98","4711","9.01","3284","11.5%","48.7%","530","45.8%","904","50.7%","1434","48.9%","1839","48.3%","0.5pp"
"The Lunar Whale","U","R","11894","2.07","7557","2.09","42994","93.5%","56.2%","7252","57.9%","11821","59.7%","19073","59.0%","23462","53.6%","5.4pp"
"Magic Damper","U","C","268852","7.59","37952","10.73","63184","27.6%","54.3%","10558","53.4%","17118","57.2%","27676","55.7%","35192","53.0%","2.7pp"
"Matoya, Archon Elder","U","R","26907","4.42","4801","5.78","11470","40.7%","50.9%","2014","50.0%","3223","52.1%","5237","51.3%","6149","50.3%","1.0pp"
"Memories Returning","U","R","16033","2.74","7971","2.81","43520","89.2%","56.7%","7403","56.8%","11982","62.1%","19385","60.0%","23805","53.9%","6.2pp"
"The Prima Vista","U","U","99733","6.97","13168","10.01","19909","25.3%","51.8%","3292","49.1%","5518","52.8%","8810","51.4%","11011","52.1%","-0.7pp"
"Qiqirn Merchant","U","C","268173","7.48","39591","10.52","77103","32.6%","52.2%","13404","50.0%","21244","53.8%","34648","52.4%","42082","52.1%","0.3pp"
"Quistis Trepe","U","U","62302","3.84","17485","4.67","90120","85.2%","54.9%","15153","51.2%","25043","59.1%","40196","56.2%","48906","53.6%","2.5pp"
"Relm's Sketching","U","U","68510","4.26","15727","5.37","73497","78.1%","54.1%","12072","51.3%","20545","58.0%","32617","55.5%","40143","52.8%","2.7pp"
"Retrieve the Esper","U","C","225606","5.47","43382","7.43","193132","74.0%","54.7%","32692","52.9%","52835","57.1%","85527","55.5%","106587","53.9%","1.6pp"
"Rook Turret","U","C","255436","6.87","33555","9.93","73498","36.9%","51.7%","12444","50.3%","19223","53.1%","31667","52.0%","41313","51.3%","0.8pp"
"Sage's Nouliths","U","C","257686","6.88","37094","9.81","92227","41.4%","53.2%","16482","52.2%","23429","53.6%","39911","53.0%","50967","53.1%","-0.1pp"
"Sahagin","U","C","221285","5.70","52546","6.99","247045","76.6%","56.4%","43947","58.3%","68619","57.8%","112566","58.0%","132802","55.0%","3.0pp"
"Scorpion Sentinel","U","C","245365","6.24","44862","8.47","185188","68.2%","54.9%","33217","54.5%","50094","56.4%","83311","55.6%","99116","54.2%","1.5pp"
"Sidequest: Card Collection","U","U","88431","5.77","18813","7.26","72501","63.2%","56.8%","12437","55.3%","20489","61.6%","32926","59.2%","38921","54.6%","4.6pp"
"Sleep Magic","U","U","62879","3.85","18769","4.57","101572","88.3%","56.3%","17520","56.0%","27804","60.2%","45324","58.6%","55239","54.4%","4.2pp"
"Stolen Uniform","U","U","109617","8.60","13033","12.33","656","0.8%","42.1%","101","","171","","272","","381","",""
"Stuck in Summoner's Sanctum","U","C","200607","4.67","41102","6.31","202797","82.3%","54.4%","34708","51.7%","55824","57.6%","90532","55.3%","110371","53.6%","1.8pp"
"Summon: Leviathan","U","R","11443","2.02","7019","2.02","38448","89.9%","55.7%","6401","55.9%","10838","60.8%","17239","59.0%","20706","52.8%","6.1pp"
"Summon: Shiva","U","U","58744","3.60","16628","4.35","86246","86.1%","55.1%","14463","53.9%","24006","58.6%","38469","56.9%","46933","53.4%","3.5pp"
"Swallowed by Leviathan","U","U","79797","5.06","23031","5.89","109875","77.7%","56.8%","18757","56.0%","30890","61.3%","49647","59.3%","59313","54.6%","4.7pp"
"Syncopate","U","C","244998","6.29","45536","8.51","178508","64.7%","55.5%","30731","56.2%","49798","57.8%","80529","57.2%","96937","54.0%","3.2pp"
"Thief's Knife","U","U","70657","4.39","13093","5.82","56333","73.0%","52.5%","9769","52.6%","15045","53.1%","24814","52.9%","30927","52.0%","0.9pp"
"Travel the Overworld","U","U","85736","5.59","18454","7.02","64096","57.8%","54.2%","10681","52.7%","17852","59.1%","28533","56.7%","35070","52.0%","4.7pp"
"Ultros, Obnoxious Octopus","U","U","63883","4.01","20348","4.61","102520","82.3%","56.5%","18310","56.9%","28287","59.7%","46597","58.6%","55070","54.6%","4.0pp"
"Valkyrie Aerial Unit","U","U","81751","5.41","13242","7.33","45623","58.1%","52.7%","7453","50.0%","12022","54.9%","19475","53.0%","25781","52.3%","0.7pp"
"The Water Crystal","U","R","33277","5.46","4219","8.41","3094","12.4%","46.1%","510","43.7%","864","47.7%","1374","46.2%","1683","45.9%","0.3pp"
"Y'shtola Rhul","U","M","6782","2.42","2805","2.47","12398","74.1%","53.3%","2088","53.8%","3459","57.6%","5547","56.2%","6739","50.7%","5.5pp"
"Ahriman","B","C","220540","5.24","30221","7.60","132078","72.7%","54.4%","23125","52.9%","32935","56.3%","56060","54.9%","74858","54.1%","0.8pp"
"Al Bhed Salvagers","B","U","64810","3.91","13768","5.04","68871","82.8%","55.1%","12045","54.0%","16976","57.6%","29021","56.1%","39220","54.3%","1.8pp"
"Ardyn, the Usurper","B","R","10708","1.91","6667","1.86","38300","91.1%","58.2%","6476","60.0%","10370","67.4%","16846","64.5%","20630","52.3%","12.2pp"
"Black Mage's Rod","B","C","200992","4.72","36271","6.40","174229","79.3%","55.0%","31183","55.2%","43218","55.8%","74401","55.6%","96704","54.3%","1.2pp"
"Cecil, Dark Knight","B","R","12645","2.21","5398","2.29","28880","88.0%","55.9%","5146","60.2%","7247","57.7%","12393","58.7%","16128","53.7%","5.0pp"
"Circle of Power","B","U","72977","4.51","15889","5.66","71989","74.5%","55.9%","12419","54.9%","18711","59.5%","31130","57.7%","39787","54.2%","3.4pp"
"Cornered by Black Mages","B","C","179640","4.26","40428","5.36","205687","83.3%","56.1%","35589","57.1%","52414","59.0%","88003","58.3%","114558","54.3%","3.9pp"
"Dark Confidant","B","M","6690","2.40","2674","2.47","12414","76.0%","56.1%","2295","63.0%","3148","57.1%","5443","59.6%","6833","53.3%","6.3pp"
"Dark Knight's Greatsword","B","U","77257","4.74","12986","6.45","54480","69.7%","54.9%","9420","55.4%","13421","56.1%","22841","55.8%","31001","54.2%","1.6pp"
"The Darkness Crystal","B","R","21836","3.67","3862","4.82","13804","59.8%","53.2%","2342","53.3%","3511","54.8%","5853","54.2%","7744","52.5%","1.8pp"
"Demon Wall","B","U","72356","4.32","13448","5.81","64421","80.0%","54.5%","11573","53.4%","16267","56.5%","27840","55.2%","35673","53.8%","1.4pp"
"Evil Reawakened","B","U","64520","3.98","14320","4.98","70874","81.8%","55.2%","11941","54.6%","18361","59.1%","30302","57.3%","39101","53.4%","4.0pp"
"Fang, Fearless l'Cie","B","U","74583","4.66","13095","6.19","45637","59.0%","52.6%","8016","50.5%","11431","52.7%","19447","51.8%","25749","53.1%","-1.3pp"
"Fight On!","B","C","249864","6.40","37293","9.03","122810","54.9%","54.3%","20061","50.0%","31416","57.2%","51477","54.4%","69477","54.2%","0.2pp"
"The Final Days","B","U","66914","4.16","14098","5.27","62430","73.3%","55.7%","10543","54.1%","15376","58.1%","25919","56.5%","36077","55.1%","1.4pp"
"Gaius van Baelsar","B","U","67222","4.07","12524","5.40","59503","79.4%","54.3%","10027","53.0%","15014","56.4%","25041","55.0%","33748","53.7%","1.3pp"
"Hecteyes","B","C","218839","5.13","41951","6.94","206848","81.3%","55.7%","36868","55.9%","51808","56.9%","88676","56.5%","116413","55.1%","1.3pp"
"Jecht, Reluctant Guardian","B","R","9011","1.58","5538","1.59","30683","92.4%","54.7%","5203","56.0%","8089","57.0%","13292","56.6%","17038","53.1%","3.5pp"
"Kain, Traitorous Dragoon","B","R","29884","4.78","3756","7.17","6793","30.6%","50.7%","1174","48.8%","1763","52.9%","2937","51.3%","3797","50.4%","0.8pp"
"Malboro","B","C","236623","5.72","38172","8.03","164970","71.2%","55.4%","29504","53.6%","42456","58.4%","71960","56.4%","91125","54.4%","2.0pp"
"Namazu Trader","B","C","255610","6.68","34954","9.58","95787","45.7%","54.0%","16198","53.6%","24320","55.3%","40518","54.6%","54489","53.5%","1.1pp"
"Ninja's Blades","B","R","13292","2.29","5063","2.44","26618","87.4%","55.1%","4656","58.6%","6712","57.2%","11368","57.8%","14810","52.8%","5.0pp"
"Overkill","B","U","36553","2.32","16377","2.57","93429","93.3%","56.0%","16190","56.3%","24281","61.0%","40471","59.1%","51348","53.4%","5.7pp"
"Phantom Train","B","U","95096","6.42","14044","8.89","31656","37.6%","54.2%","5181","52.3%","7870","56.1%","13051","54.6%","18333","53.8%","0.9pp"
"Poison the Waters","B","U","92875","6.00","11717","8.87","24803","35.3%","53.0%","4302","52.0%","6288","54.1%","10590","53.2%","13997","52.7%","0.6pp"
"Qutrub Forayer","B","C","267958","7.56","29100","11.22","25967","14.8%","51.5%","4311","49.7%","6404","53.0%","10715","51.6%","15111","51.5%","0.1pp"
"Reno and Rude","B","U","72495","4.42","12382","6.00","54804","74.7%","53.8%","9693","54.6%","13274","53.5%","22967","54.0%","31576","53.7%","0.3pp"
"Resentful Revelation","B","C","235975","5.85","44767","7.74","189248","69.4%","56.3%","34059","56.5%","47599","59.1%","81658","58.0%","106602","55.0%","3.0pp"
"Sephiroth, Fabled SOLDIER","B","M","3670","1.31","2868","1.29","16364","91.8%","56.8%","2871","60.7%","4162","63.6%","7033","62.4%","9094","52.4%","10.0pp"
"Sephiroth's Intervention","B","C","121296","2.89","42425","3.39","241674","93.2%","56.1%","41310","55.5%","63360","61.2%","104670","59.0%","132842","53.7%","5.3pp"
